最後結算日,契約月份,商品代號,商品名稱,最後結算價
2016/12/28,201612W4,TXO,臺指選擇權,9198
2016/12/21,201612  ,TXO,臺指選擇權,9232
2016/12/21,201612  ,TEO,電子選擇權,367.85
2016/12/21,201612  ,TFO,金融選擇權,1081.2
2016/12/21,201612  ,XIO,非金電選擇權,11312
2016/12/21,201612  ,GTO,櫃買選擇權,123.6
2016/12/14,201612W2,TXO,臺指選擇權,9377
2016/12/07,201612W1,TXO,臺指選擇權,9258
2016/11/30,201611W5,TXO,臺指選擇權,9217
2016/11/23,201611W4,TXO,臺指選擇權,9179
2016/11/16,201611  ,TXO,臺指選擇權,8984
2016/11/16,201611  ,TEO,電子選擇權,361.05
2016/11/16,201611  ,TFO,金融選擇權,1031.6
2016/11/16,201611  ,XIO,非金電選擇權,10946
2016/11/16,201611  ,GTO,櫃買選擇權,119.8
2016/11/09,201611W2,TXO,臺指選擇權,8940
2016/11/02,201611W1,TXO,臺指選擇權,9151
2016/10/26,201610W4,TXO,臺指選擇權,9363
2016/10/19,201610  ,TXO,臺指選擇權,9280
2016/10/19,201610  ,TEO,電子選擇權,380.75
2016/10/19,201610  ,TFO,金融選擇權,1000.6
2016/10/19,201610  ,XIO,非金電選擇權,11198
2016/10/19,201610  ,GTO,櫃買選擇權,127.15
2016/10/12,201610W2,TXO,臺指選擇權,9247
2016/10/05,201610W1,TXO,臺指選擇權,9261
2016/09/29,201609W4,TXO,臺指選擇權,9287
2016/09/21,201609  ,TXO,臺指選擇權,9221
2016/09/21,201609  ,TEO,電子選擇權,378.5
2016/09/21,201609  ,TFO,金融選擇權,1009.6
2016/09/21,201609  ,XIO,非金電選擇權,11054
2016/09/21,201609  ,GTO,櫃買選擇權,130.75
2016/09/14,201609W2,TXO,臺指選擇權,8902
2016/09/07,201609W1,TXO,臺指選擇權,9261
2016/08/31,201608W5,TXO,臺指選擇權,9074
2016/08/24,201608W4,TXO,臺指選擇權,9030
2016/08/17,201608  ,TXO,臺指選擇權,9121
2016/08/17,201608  ,TEO,電子選擇權,370.35
2016/08/17,201608  ,TFO,金融選擇權,1000.4
2016/08/17,201608  ,XIO,非金電選擇權,11124
2016/08/17,201608  ,GTO,櫃買選擇權,129.8
2016/08/10,201608W2,TXO,臺指選擇權,9181
2016/08/03,201608W1,TXO,臺指選擇權,9004
2016/07/27,201607W4,TXO,臺指選擇權,9054
2016/07/20,201607  ,TXO,臺指選擇權,9003
2016/07/20,201607  ,TEO,電子選擇權,365.6
2016/07/20,201607  ,TFO,金融選擇權,981.6
2016/07/20,201607  ,XIO,非金電選擇權,11003
2016/07/20,201607  ,GTO,櫃買選擇權,130.6
2016/07/13,201607W2,TXO,臺指選擇權,8845
2016/07/06,201607W1,TXO,臺指選擇權,8579
2016/06/29,201606W5,TXO,臺指選擇權,8585
2016/06/22,201606W4,TXO,臺指選擇權,8694
2016/06/15,201606  ,TXO,臺指選擇權,8602
2016/06/15,201606  ,TEO,電子選擇權,346.7
2016/06/15,201606  ,TFO,金融選擇權,954
2016/06/15,201606  ,XIO,非金電選擇權,10573
2016/06/15,201606  ,GTO,櫃買選擇權,127.25
2016/06/08,201606W2,TXO,臺指選擇權,8704
2016/06/01,201606W1,TXO,臺指選擇權,8598
2016/05/25,201605W4,TXO,臺指選擇權,8387
2016/05/18,201605  ,TXO,臺指選擇權,8149
2016/05/18,201605  ,TEO,電子選擇權,320.65
2016/05/18,201605  ,TFO,金融選擇權,907.8
2016/05/18,201605  ,XIO,非金電選擇權,10387
2016/05/18,201605  ,GTO,櫃買選擇權,122.3
2016/05/11,201605W2,TXO,臺指選擇權,8139
2016/05/04,201605W1,TXO,臺指選擇權,8171
2016/04/27,201604W4,TXO,臺指選擇權,8567
2016/04/20,201604  ,TXO,臺指選擇權,8519
2016/04/20,201604  ,TEO,電子選擇權,336.85
2016/04/20,201604  ,TFO,金融選擇權,932.6
2016/04/20,201604  ,XIO,非金電選擇權,10848
2016/04/20,201604  ,GTO,櫃買選擇權,127.45
2016/04/13,201604W2,TXO,臺指選擇權,8641
2016/04/06,201604W1,TXO,臺指選擇權,8523
2016/03/30,201603W5,TXO,臺指選擇權,8735
2016/03/23,201603W4,TXO,臺指選擇權,8745
2016/03/16,201603  ,TXO,臺指選擇權,8691
2016/03/16,201603  ,TEO,電子選擇權,347.3
2016/03/16,201603  ,TFO,金融選擇權,956.6
2016/03/16,201603  ,XIO,非金電選擇權,10859
2016/03/16,201603  ,GTO,櫃買選擇權,131.7
2016/03/09,201603W2,TXO,臺指選擇權,8616
2016/03/02,201603W1,TXO,臺指選擇權,8549
2016/02/24,201602W4,TXO,臺指選擇權,8276
2016/02/17,201602  ,TXO,臺指選擇權,8212
2016/02/17,201602  ,TEO,電子選擇權,328.75
2016/02/17,201602  ,TFO,金融選擇權,898.8
2016/02/17,201602  ,XIO,非金電選擇權,10255
2016/02/17,201602  ,GTO,櫃買選擇權,126.15
2016/02/15,201602W2,TXO,臺指選擇權,8053
2016/02/03,201602W1,TXO,臺指選擇權,8077
2016/01/27,201601W4,TXO,臺指選擇權,7844
2016/01/20,201601  ,TXO,臺指選擇權,7704
2016/01/20,201601  ,TEO,電子選擇權,305.05
2016/01/20,201601  ,TFO,金融選擇權,851.6
2016/01/20,201601  ,XIO,非金電選擇權,9752
2016/01/20,201601  ,GTO,櫃買選擇權,118.5
2016/01/13,201601W2,TXO,臺指選擇權,7814
2016/01/06,201601W1,TXO,臺指選擇權,7996
