最後結算日,契約月份,商品代號,商品名稱,最後結算價
2018/12/26,201812W4,TXO,臺指選擇權,9489
2018/12/19,201812  ,TXO,臺指選擇權,9768
2018/12/19,201812  ,TEO,電子選擇權,388.75
2018/12/19,201812  ,TFO,金融選擇權,1189.4
2018/12/19,201812  ,XIO,非金電選擇權,11787
2018/12/19,201812  ,GTO,櫃買選擇權,124.9
2018/12/12,201812W2,TXO,臺指選擇權,9829
2018/12/05,201812W1,TXO,臺指選擇權,9904
2018/11/28,201811W4,TXO,臺指選擇權,9874
2018/11/21,201811  ,TXO,臺指選擇權,9743
2018/11/21,201811  ,TEO,電子選擇權,381.35
2018/11/21,201811  ,TFO,金融選擇權,1235.4
2018/11/21,201811  ,XIO,非金電選擇權,11829
2018/11/21,201811  ,GTO,櫃買選擇權,120.95
2018/11/14,201811W2,TXO,臺指選擇權,9788
2018/11/07,201811W1,TXO,臺指選擇權,9889
2018/10/31,201810W5,TXO,臺指選擇權,9733
2018/10/24,201810W4,TXO,臺指選擇權,9774
2018/10/17,201810  ,TXO,臺指選擇權,9994
2018/10/17,201810  ,TEO,電子選擇權,397.25
2018/10/17,201810  ,TFO,金融選擇權,1228.4
2018/10/17,201810  ,XIO,非金電選擇權,12028
2018/10/17,201810  ,GTO,櫃買選擇權,119.1
2018/10/11,201810W2,TXO,臺指選擇權,9819
2018/10/03,201810W1,TXO,臺指選擇權,10852
2018/09/26,201809W4,TXO,臺指選擇權,10962
2018/09/19,201809  ,TXO,臺指選擇權,10872
2018/09/19,201809  ,TEO,電子選擇權,437.7
2018/09/19,201809  ,TFO,金融選擇權,1279.8
2018/09/19,201809  ,XIO,非金電選擇權,13060
2018/09/19,201809  ,GTO,櫃買選擇權,132.75
2018/09/12,201809W2,TXO,臺指選擇權,10724
2018/09/05,201809W1,TXO,臺指選擇權,11000
2018/08/29,201808W5,TXO,臺指選擇權,11061
2018/08/22,201808W4,TXO,臺指選擇權,10791
2018/08/15,201808  ,TXO,臺指選擇權,10737
2018/08/15,201808  ,TEO,電子選擇權,436.95
2018/08/15,201808  ,TFO,金融選擇權,1256
2018/08/15,201808  ,XIO,非金電選擇權,12708
2018/08/15,201808  ,GTO,櫃買選擇權,142.75
2018/08/08,201808W2,TXO,臺指選擇權,11056
2018/08/01,201808W1,TXO,臺指選擇權,11085
2018/07/25,201807W4,TXO,臺指選擇權,10970
2018/07/18,201807  ,TXO,臺指選擇權,10844
2018/07/18,201807  ,TEO,電子選擇權,443.65
2018/07/18,201807  ,TFO,金融選擇權,1246.4
2018/07/18,201807  ,XIO,非金電選擇權,12813
2018/07/18,201807  ,GTO,櫃買選擇權,150.55
2018/07/11,201807W2,TXO,臺指選擇權,10655
2018/07/04,201807W1,TXO,臺指選擇權,10729
2018/06/27,201806W4,TXO,臺指選擇權,10728
2018/06/20,201806  ,TXO,臺指選擇權,10936
2018/06/20,201806  ,TEO,電子選擇權,448.55
2018/06/20,201806  ,TFO,金融選擇權,1274.2
2018/06/20,201806  ,XIO,非金電選擇權,12798
2018/06/20,201806  ,GTO,櫃買選擇權,153.45
2018/06/13,201806W2,TXO,臺指選擇權,11169
2018/06/06,201806W1,TXO,臺指選擇權,11200
2018/05/30,201805W5,TXO,臺指選擇權,10835
2018/05/23,201805W4,TXO,臺指選擇權,10919
2018/05/16,201805  ,TXO,臺指選擇權,10872
2018/05/16,201805  ,TEO,電子選擇權,443.35
2018/05/16,201805  ,TFO,金融選擇權,1262
2018/05/16,201805  ,XIO,非金電選擇權,12866
2018/05/16,201805  ,GTO,櫃買選擇權,152.6
2018/05/09,201805W2,TXO,臺指選擇權,10722
2018/05/02,201805W1,TXO,臺指選擇權,10611
2018/04/25,201804W4,TXO,臺指選擇權,10566
2018/04/18,201804  ,TXO,臺指選擇權,10846
2018/04/18,201804  ,TEO,電子選擇權,448.4
2018/04/18,201804  ,TFO,金融選擇權,1218.2
2018/04/18,201804  ,XIO,非金電選擇權,12725
2018/04/18,201804  ,GTO,櫃買選擇權,153.65
2018/04/11,201804W2,TXO,臺指選擇權,10975
2018/04/09,201804W1,TXO,臺指選擇權,10896
2018/03/28,201803W4,TXO,臺指選擇權,10862
2018/03/21,201803  ,TXO,臺指選擇權,11045
2018/03/21,201803  ,TEO,電子選擇權,465.3
2018/03/21,201803  ,TFO,金融選擇權,1226
2018/03/21,201803  ,XIO,非金電選擇權,12598
2018/03/21,201803  ,GTO,櫃買選擇權,155
2018/03/14,201803W2,TXO,臺指選擇權,11044
2018/03/07,201803W1,TXO,臺指選擇權,10761
2018/03/01,201802W4,TXO,臺指選擇權,10797
2018/02/21,201802  ,TXO,臺指選擇權,10705
2018/02/21,201802  ,TEO,電子選擇權,446.2
2018/02/21,201802  ,TFO,金融選擇權,1207.2
2018/02/21,201802  ,XIO,非金電選擇權,12363
2018/02/21,201802  ,GTO,櫃買選擇權,145.7
2018/02/07,201802W1,TXO,臺指選擇權,10579
2018/01/31,201801W5,TXO,臺指選擇權,11139
2018/01/24,201801W4,TXO,臺指選擇權,11129
2018/01/17,201801  ,TXO,臺指選擇權,11020
2018/01/17,201801  ,TEO,電子選擇權,456.35
2018/01/17,201801  ,TFO,金融選擇權,1252.4
2018/01/17,201801  ,XIO,非金電選擇權,12834
2018/01/17,201801  ,GTO,櫃買選擇權,152.45
2018/01/10,201801W2,TXO,臺指選擇權,10825
2018/01/03,201801W1,TXO,臺指選擇權,10792
