最後結算日,契約月份,商品代號,商品名稱,最後結算價
2014/12/31,201412W5,TXO,臺指選擇權,9277
2014/12/24,201412W4,TXO,臺指選擇權,9176
2014/12/17,201412  ,TXO,臺指選擇權,8843
2014/12/17,201412  ,TEO,電子選擇權,350.85
2014/12/17,201412  ,TFO,金融選擇權,1040.6
2014/12/17,201412  ,XIO,非金電選擇權,10886
2014/12/17,201412  ,GTO,櫃買選擇權,135.7
2014/12/10,201412W2,TXO,臺指選擇權,9032
2014/12/03,201412W1,TXO,臺指選擇權,9173
2014/11/26,201411W4,TXO,臺指選擇權,9127
2014/11/19,201411  ,TXO,臺指選擇權,8953
2014/11/19,201411  ,TEO,電子選擇權,353.2
2014/11/19,201411  ,TFO,金融選擇權,1092
2014/11/19,201411  ,XIO,非金電選擇權,10952
2014/11/19,201411  ,GTO,櫃買選擇權,126.8
2014/11/12,201411W2,TXO,臺指選擇權,8906
2014/11/05,201411W1,TXO,臺指選擇權,8950
2014/10/29,201410W5,TXO,臺指選擇權,8896
2014/10/22,201410W4,TXO,臺指選擇權,8741
2014/10/15,201410  ,TXO,臺指選擇權,8646
2014/10/15,201410  ,TEO,電子選擇權,338
2014/10/15,201410  ,TFO,金融選擇權,1061.8
2014/10/15,201410  ,XIO,非金電選擇權,10700
2014/10/15,201410  ,GTO,櫃買選擇權,129.2
2014/10/08,201410W2,TXO,臺指選擇權,8979
2014/10/01,201410W1,TXO,臺指選擇權,8994
2014/09/24,201409W4,TXO,臺指選擇權,9111
2014/09/17,201409  ,TXO,臺指選擇權,9172
2014/09/17,201409  ,TEO,電子選擇權,359.25
2014/09/17,201409  ,TFO,金融選擇權,1104
2014/09/17,201409  ,XIO,非金電選擇權,11415
2014/09/17,201409  ,GTO,櫃買選擇權,139.4
2014/09/10,201409W2,TXO,臺指選擇權,9356
2014/09/03,201409W1,TXO,臺指選擇權,9428
2014/08/27,201408W4,TXO,臺指選擇權,9471
2014/08/20,201408  ,TXO,臺指選擇權,9275
2014/08/20,201408  ,TEO,電子選擇權,365.6
2014/08/20,201408  ,TFO,金融選擇權,1100
2014/08/20,201408  ,XIO,非金電選擇權,11496
2014/08/20,201408  ,GTO,櫃買選擇權,135.2
2014/08/13,201408W2,TXO,臺指選擇權,9225
2014/08/06,201408W1,TXO,臺指選擇權,9150
2014/07/30,201407W5,TXO,臺指選擇權,9444
2014/07/24,201407W4,TXO,臺指選擇權,9506
2014/07/16,201407  ,TXO,臺指選擇權,9483
2014/07/16,201407  ,TEO,電子選擇權,378.2
2014/07/16,201407  ,TFO,金融選擇權,1089
2014/07/16,201407  ,XIO,非金電選擇權,11691
2014/07/16,201407  ,GTO,櫃買選擇權,148.9
2014/07/09,201407W2,TXO,臺指選擇權,9495
2014/07/02,201407W1,TXO,臺指選擇權,9464
2014/06/25,201406W4,TXO,臺指選擇權,9242
2014/06/18,201406  ,TXO,臺指選擇權,9302
2014/06/18,201406  ,TEO,電子選擇權,367.65
2014/06/18,201406  ,TFO,金融選擇權,1033
2014/06/18,201406  ,XIO,非金電選擇權,11788
2014/06/18,201406  ,GTO,櫃買選擇權,151.65
2014/06/11,201406W2,TXO,臺指選擇權,9213
2014/06/04,201406W1,TXO,臺指選擇權,9124
2014/05/28,201405W4,TXO,臺指選擇權,9114
2014/05/21,201405  ,TXO,臺指選擇權,8860
2014/05/21,201405  ,TEO,電子選擇權,346.65
2014/05/21,201405  ,TFO,金融選擇權,981.8
2014/05/21,201405  ,XIO,非金電選擇權,11412
2014/05/21,201405  ,GTO,櫃買選擇權,142.65
2014/05/14,201405W2,TXO,臺指選擇權,8849
2014/05/07,201405W1,TXO,臺指選擇權,8891
2014/04/30,201404W5,TXO,臺指選擇權,8811
2014/04/23,201404W4,TXO,臺指選擇權,8963
2014/04/16,201404  ,TXO,臺指選擇權,8954
2014/04/16,201404  ,TEO,電子選擇權,341.45
2014/04/16,201404  ,TFO,金融選擇權,998.2
2014/04/16,201404  ,XIO,非金電選擇權,11952
2014/04/16,201404  ,GTO,櫃買選擇權,144.2
2014/04/09,201404W2,TXO,臺指選擇權,8930
2014/04/02,201404W1,TXO,臺指選擇權,8900
2014/03/26,201403W4,TXO,臺指選擇權,8736
2014/03/19,201403  ,TXO,臺指選擇權,8696
2014/03/19,201403  ,TEO,電子選擇權,328.35
2014/03/19,201403  ,TFO,金融選擇權,994
2014/03/19,201403  ,XIO,非金電選擇權,11660
2014/03/19,201403  ,GTO,櫃買選擇權,145.55
2014/03/12,201403W2,TXO,臺指選擇權,8662
2014/03/05,201403W1,TXO,臺指選擇權,8639
2014/02/26,201402W4,TXO,臺指選擇權,8611
2014/02/19,201402  ,TXO,臺指選擇權,8556
2014/02/19,201402  ,TEO,電子選擇權,315.4
2014/02/19,201402  ,TFO,金融選擇權,1027.8
2014/02/19,201402  ,XIO,非金電選擇權,11636
2014/02/19,201402  ,GTO,櫃買選擇權,136.5
2014/02/12,201402W2,TXO,臺指選擇權,8502
2014/02/05,201401W5,TXO,臺指選擇權,8269
2014/01/22,201401W4,TXO,臺指選擇權,8610
2014/01/15,201401  ,TXO,臺指選擇權,8610
2014/01/15,201401  ,TEO,電子選擇權,313.35
2014/01/15,201401  ,TFO,金融選擇權,1043.8
2014/01/15,201401  ,XIO,非金電選擇權,11871
2014/01/15,201401  ,GTO,櫃買選擇權,130.5
2014/01/08,201401W2,TXO,臺指選擇權,8560
2014/01/02,201401W1,TXO,臺指選擇權,8606
