最後結算日,契約月份,商品代號,商品名稱,最後結算價
2017/12/29,201712  ,I5F,印度50期貨,10477.9
2017/12/27,201712W4,TX/MTX,臺股期貨/小型臺指期貨,10479
2017/12/20,201712  ,TX/MTX,臺股期貨/小型臺指期貨,10497
2017/12/20,201712  ,TE,電子期貨,437
2017/12/20,201712  ,TF,金融期貨,1186.8
2017/12/20,201712  ,T5F,台灣50期貨,7847
2017/12/20,201712  ,XIF,非金電期貨,12134
2017/12/20,201712  ,GTF,櫃買期貨,146.75
2017/12/18,201712  ,UDF,美國道瓊期貨,24669.64
2017/12/18,201712  ,SPF,美國標普500期貨,2669.02
2017/12/13,201712W2,TX/MTX,臺股期貨/小型臺指期貨,10462
2017/12/08,201712  ,TJF,東證期貨,1778.89
2017/12/06,201712W1,TX/MTX,臺股期貨/小型臺指期貨,10393
2017/12/01,201711  ,I5F,印度50期貨,10226.55
2017/11/29,201711W5,TX/MTX,臺股期貨/小型臺指期貨,10709
2017/11/22,201711W4,TX/MTX,臺股期貨/小型臺指期貨,10817
2017/11/15,201711  ,TX/MTX,臺股期貨/小型臺指期貨,10638
2017/11/15,201711  ,TE,電子期貨,456.25
2017/11/15,201711  ,TF,金融期貨,1141
2017/11/15,201711  ,T5F,台灣50期貨,8109
2017/11/15,201711  ,XIF,非金電期貨,11911
2017/11/15,201711  ,GTF,櫃買期貨,146.5
2017/11/10,201711  ,TJF,東證期貨,1787.3
2017/11/08,201711W2,TX/MTX,臺股期貨/小型臺指期貨,10816
2017/11/01,201711W1,TX/MTX,臺股期貨/小型臺指期貨,10800
2017/10/27,201710  ,I5F,印度50期貨,10343.8
2017/10/25,201710W4,TX/MTX,臺股期貨/小型臺指期貨,10749
2017/10/18,201710  ,TX/MTX,臺股期貨/小型臺指期貨,10728
2017/10/18,201710  ,TE,電子期貨,462.5
2017/10/18,201710  ,TF,金融期貨,1137.4
2017/10/18,201710  ,T5F,台灣50期貨,8216
2017/10/18,201710  ,XIF,非金電期貨,11953
2017/10/18,201710  ,GTF,櫃買期貨,143.1
2017/10/13,201710  ,TJF,東證期貨,1697.73
2017/10/11,201710W2,TX/MTX,臺股期貨/小型臺指期貨,10641
2017/10/05,201710W1,TX/MTX,臺股期貨/小型臺指期貨,10522
2017/09/29,201709  ,I5F,印度50期貨,9768.95
2017/09/27,201709W4,TX/MTX,臺股期貨/小型臺指期貨,10335
2017/09/20,201709  ,TX/MTX,臺股期貨/小型臺指期貨,10510
2017/09/20,201709  ,TE,電子期貨,446.95
2017/09/20,201709  ,TF,金融期貨,1126.4
2017/09/20,201709  ,T5F,台灣50期貨,7972
2017/09/20,201709  ,XIF,非金電期貨,11955
2017/09/20,201709  ,GTF,櫃買期貨,141.9
2017/09/18,201709  ,UDF,美國道瓊期貨,22283.15
2017/09/18,201709  ,SPF,美國標普500期貨,2496.83
2017/09/13,201709W2,TX/MTX,臺股期貨/小型臺指期貨,10543
2017/09/08,201709  ,TJF,東證期貨,1593.48
2017/09/06,201709W1,TX/MTX,臺股期貨/小型臺指期貨,10550
2017/09/01,201708  ,I5F,印度50期貨,9917.9
2017/08/30,201708W5,TX/MTX,臺股期貨/小型臺指期貨,10557
2017/08/23,201708W4,TX/MTX,臺股期貨/小型臺指期貨,10393
2017/08/16,201708  ,TX/MTX,臺股期貨/小型臺指期貨,10254
2017/08/16,201708  ,TE,電子期貨,434.9
2017/08/16,201708  ,TF,金融期貨,1115
2017/08/16,201708  ,T5F,台灣50期貨,7844
2017/08/16,201708  ,XIF,非金電期貨,11653
2017/08/16,201708  ,GTF,櫃買期貨,133.5
2017/08/10,201708  ,TJF,東證期貨,1620.91
2017/08/09,201708W2,TX/MTX,臺股期貨/小型臺指期貨,10468
2017/08/02,201708W1,TX/MTX,臺股期貨/小型臺指期貨,10500
2017/07/28,201707  ,I5F,印度50期貨,10020.55
2017/07/26,201707W4,TX/MTX,臺股期貨/小型臺指期貨,10422
2017/07/19,201707  ,TX/MTX,臺股期貨/小型臺指期貨,10500
