最後結算日,契約月份,商品代號,商品名稱,最後結算價
2017/07/19,201707  ,TE,電子期貨,444.75
2017/07/19,201707  ,TF,金融期貨,1147.2
2017/07/19,201707  ,T5F,台灣50期貨,8053
2017/07/19,201707  ,XIF,非金電期貨,11937
2017/07/19,201707  ,GTF,櫃買期貨,137.85
2017/07/14,201707  ,TJF,東證期貨,1623.9
2017/07/12,201707W2,TX/MTX,臺股期貨/小型臺指期貨,10427
2017/07/05,201707W1,TX/MTX,臺股期貨/小型臺指期貨,10390
2017/06/30,201706  ,I5F,印度50期貨,9504.1
2017/06/28,201706W4,TX/MTX,臺股期貨/小型臺指期貨,10401
2017/06/21,201706  ,TX/MTX,臺股期貨/小型臺指期貨,10369
2017/06/21,201706  ,TE,電子期貨,439.7
2017/06/21,201706  ,TF,金融期貨,1118.2
2017/06/21,201706  ,T5F,台灣50期貨,7932
2017/06/21,201706  ,XIF,非金電期貨,11826
2017/06/21,201706  ,GTF,櫃買期貨,135.6
2017/06/19,201706  ,UDF,美國道瓊期貨,21360.11
2017/06/19,201706  ,SPF,美國標普500期貨,2434.89
2017/06/14,201706W2,TX/MTX,臺股期貨/小型臺指期貨,10049
2017/06/09,201706  ,TJF,東證期貨,1590.24
2017/06/07,201706W1,TX/MTX,臺股期貨/小型臺指期貨,10203
2017/05/31,201705W5,TX/MTX,臺股期貨/小型臺指期貨,10038
2017/05/26,201705  ,I5F,印度50期貨,9509.75
2017/05/24,201705W4,TX/MTX,臺股期貨/小型臺指期貨,10046
2017/05/17,201705  ,TX/MTX,臺股期貨/小型臺指期貨,10000
2017/05/17,201705  ,TE,電子期貨,417
2017/05/17,201705  ,TF,金融期貨,1123.2
2017/05/17,201705  ,T5F,台灣50期貨,7601
2017/05/17,201705  ,XIF,非金電期貨,11559
2017/05/17,201705  ,GTF,櫃買期貨,132.4
2017/05/12,201705  ,TJF,東證期貨,1584.67
2017/05/10,201705W2,TX/MTX,臺股期貨/小型臺指期貨,9953
2017/05/03,201705W1,TX/MTX,臺股期貨/小型臺指期貨,9945
2017/04/28,201704  ,I5F,印度50期貨,9342.15
2017/04/26,201704W4,TX/MTX,臺股期貨/小型臺指期貨,9851
2017/04/19,201704  ,TX/MTX,臺股期貨/小型臺指期貨,9639
2017/04/19,201704  ,TE,電子期貨,395.55
2017/04/19,201704  ,TF,金融期貨,1070.4
2017/04/19,201704  ,T5F,台灣50期貨,7261
2017/04/19,201704  ,XIF,非金電期貨,11504
2017/04/19,201704  ,GTF,櫃買期貨,131.3
2017/04/14,201704  ,TJF,東證期貨,1468.06
2017/04/12,201704W2,TX/MTX,臺股期貨/小型臺指期貨,9808
2017/04/05,201704W1,TX/MTX,臺股期貨/小型臺指期貨,9911
2017/03/31,201703  ,I5F,印度50期貨,9173.75
2017/03/29,201703W5,TX/MTX,臺股期貨/小型臺指期貨,9845
2017/03/22,201703W4,TX/MTX,臺股期貨/小型臺指期貨,9905
2017/03/15,201703  ,TX/MTX,臺股期貨/小型臺指期貨,9733
2017/03/15,201703  ,TE,電子期貨,393.75
2017/03/15,201703  ,TF,金融期貨,1122.4
2017/03/15,201703  ,T5F,台灣50期貨,7260
2017/03/15,201703  ,XIF,非金電期貨,11711
2017/03/15,201703  ,GTF,櫃買期貨,135.6
2017/03/10,201703  ,TJF,東證期貨,1568.31
2017/03/08,201703W2,TX/MTX,臺股期貨/小型臺指期貨,9761
2017/03/01,201703W1,TX/MTX,臺股期貨/小型臺指期貨,9690
2017/02/24,201702  ,I5F,印度50期貨,8939.5
2017/02/22,201702W4,TX/MTX,臺股期貨/小型臺指期貨,9778
2017/02/15,201702  ,TX/MTX,臺股期貨/小型臺指期貨,9799
2017/02/15,201702  ,TE,電子期貨,394.25
2017/02/15,201702  ,TF,金融期貨,1110.2
2017/02/15,201702  ,T5F,台灣50期貨,7356
2017/02/15,201702  ,XIF,非金電期貨,11979
2017/02/15,201702  ,GTF,櫃買期貨,131.8
2017/02/10,201702  ,TJF,東證期貨,1537.47
2017/02/08,201702W2,TX/MTX,臺股期貨/小型臺指期貨,9550
2017/02/02,201701W4,TX/MTX,臺股期貨/小型臺指期貨,9440
2017/01/25,201701  ,I5F,印度50期貨,8475.8
2017/01/18,201701  ,TX/MTX,臺股期貨/小型臺指期貨,9340
2017/01/18,201701  ,TE,電子期貨,375.85
2017/01/18,201701  ,TF,金融期貨,1073
2017/01/18,201701  ,T5F,台灣50期貨,7023
2017/01/18,201701  ,XIF,非金電期貨,11354
2017/01/18,201701  ,GTF,櫃買期貨,125.25
2017/01/13,201701  ,TJF,東證期貨,1534.26
2017/01/11,201701W2,TX/MTX,臺股期貨/小型臺指期貨,9343
2017/01/04,201701W1,TX/MTX,臺股期貨/小型臺指期貨,9285
