最後結算日,契約月份,商品代號,商品名稱,最後結算價
2014/12/31,201412W5,TX/MTX,臺股期貨/小型臺指期貨,9277
2014/12/24,201412W4,TX/MTX,臺股期貨/小型臺指期貨,9176
2014/12/17,201412  ,TX/MTX,臺股期貨/小型臺指期貨,8843
2014/12/17,201412  ,TE,電子期貨,350.85
2014/12/17,201412  ,TF,金融期貨,1040.6
2014/12/17,201412  ,T5F,台灣50期貨,6348
2014/12/17,201412  ,XIF,非金電期貨,10886
2014/12/17,201412  ,GTF,櫃買期貨,135.7
2014/12/10,201412W2,TX/MTX,臺股期貨/小型臺指期貨,9032
2014/12/03,201412W1,TX/MTX,臺股期貨/小型臺指期貨,9173
2014/11/26,201411W4,TX/MTX,臺股期貨/小型臺指期貨,9127
2014/11/19,201411  ,TX/MTX,臺股期貨/小型臺指期貨,8953
2014/11/19,201411  ,TE,電子期貨,353.2
2014/11/19,201411  ,TF,金融期貨,1092
2014/11/19,201411  ,T5F,台灣50期貨,6581
2014/11/19,201411  ,XIF,非金電期貨,10952
2014/11/19,201411  ,GTF,櫃買期貨,126.8
2014/11/12,201411W2,TX/MTX,臺股期貨/小型臺指期貨,8906
2014/11/05,201411W1,TX/MTX,臺股期貨/小型臺指期貨,8950
2014/10/29,201410W5,TX/MTX,臺股期貨/小型臺指期貨,8896
2014/10/22,201410W4,TX/MTX,臺股期貨/小型臺指期貨,8741
2014/10/15,201410  ,TX/MTX,臺股期貨/小型臺指期貨,8646
2014/10/15,201410  ,TE,電子期貨,338
2014/10/15,201410  ,TF,金融期貨,1061.8
2014/10/15,201410  ,T5F,台灣50期貨,6243
2014/10/15,201410  ,XIF,非金電期貨,10700
2014/10/15,201410  ,GTF,櫃買期貨,129.2
2014/10/08,201410W2,TX/MTX,臺股期貨/小型臺指期貨,8979
2014/10/01,201410W1,TX/MTX,臺股期貨/小型臺指期貨,8994
2014/09/24,201409W4,TX/MTX,臺股期貨/小型臺指期貨,9111
2014/09/17,201409  ,TX/MTX,臺股期貨/小型臺指期貨,9172
2014/09/17,201409  ,TE,電子期貨,359.25
2014/09/17,201409  ,TF,金融期貨,1104
2014/09/17,201409  ,T5F,台灣50期貨,6577
2014/09/17,201409  ,XIF,非金電期貨,11415
2014/09/17,201409  ,GTF,櫃買期貨,139.4
2014/09/10,201409W2,TX/MTX,臺股期貨/小型臺指期貨,9356
2014/09/03,201409W1,TX/MTX,臺股期貨/小型臺指期貨,9428
2014/08/27,201408W4,TX/MTX,臺股期貨/小型臺指期貨,9471
2014/08/20,201408  ,TX/MTX,臺股期貨/小型臺指期貨,9275
2014/08/20,201408  ,TE,電子期貨,365.6
2014/08/20,201408  ,TF,金融期貨,1100
2014/08/20,201408  ,T5F,台灣50期貨,6658
2014/08/20,201408  ,XIF,非金電期貨,11496
2014/08/20,201408  ,GTF,櫃買期貨,135.2
2014/08/13,201408W2,TX/MTX,臺股期貨/小型臺指期貨,9225
2014/08/06,201408W1,TX/MTX,臺股期貨/小型臺指期貨,9150
2014/07/30,201407W5,TX/MTX,臺股期貨/小型臺指期貨,9444
2014/07/24,201407W4,TX/MTX,臺股期貨/小型臺指期貨,9506
2014/07/16,201407  ,TX/MTX,臺股期貨/小型臺指期貨,9483
2014/07/16,201407  ,TE,電子期貨,378.2
2014/07/16,201407  ,TF,金融期貨,1089
2014/07/16,201407  ,T5F,台灣50期貨,6742
2014/07/16,201407  ,XIF,非金電期貨,11691
2014/07/16,201407  ,GTF,櫃買期貨,148.9
2014/07/09,201407W2,TX/MTX,臺股期貨/小型臺指期貨,9495
2014/07/02,201407W1,TX/MTX,臺股期貨/小型臺指期貨,9464
2014/06/25,201406W4,TX/MTX,臺股期貨/小型臺指期貨,9242
2014/06/18,201406  ,TX/MTX,臺股期貨/小型臺指期貨,9302
2014/06/18,201406  ,TE,電子期貨,367.65
2014/06/18,201406  ,TF,金融期貨,1033
2014/06/18,201406  ,T5F,台灣50期貨,6486
2014/06/18,201406  ,XIF,非金電期貨,11788
2014/06/18,201406  ,GTF,櫃買期貨,151.65
2014/06/11,201406W2,TX/MTX,臺股期貨/小型臺指期貨,9213
2014/06/04,201406W1,TX/MTX,臺股期貨/小型臺指期貨,9124
2014/05/28,201405W4,TX/MTX,臺股期貨/小型臺指期貨,9114
2014/05/21,201405  ,TX/MTX,臺股期貨/小型臺指期貨,8860
2014/05/21,201405  ,TE,電子期貨,346.65
2014/05/21,201405  ,TF,金融期貨,981.8
2014/05/21,201405  ,T5F,台灣50期貨,6182
2014/05/21,201405  ,XIF,非金電期貨,11412
2014/05/21,201405  ,GTF,櫃買期貨,142.65
2014/05/14,201405W2,TX/MTX,臺股期貨/小型臺指期貨,8849
