最後結算日,契約月份,商品代號,商品名稱,最後結算價
2018/12/28,201812  ,I5F,印度50期貨,10779.8
2018/12/26,201812W4,TX/MTX,臺股期貨/小型臺指期貨,9489
2018/12/22,201812  ,UDF,美國道瓊期貨,22785.28
2018/12/22,201812  ,SPF,美國標普500期貨,2458.9
2018/12/19,201812  ,TX/MTX,臺股期貨/小型臺指期貨,9768
2018/12/19,201812  ,TE,電子期貨,388.75
2018/12/19,201812  ,TF,金融期貨,1189.4
2018/12/19,201812  ,T5F,台灣50期貨,7340
2018/12/19,201812  ,XIF,非金電期貨,11787
2018/12/19,201812  ,GTF,櫃買期貨,124.9
2018/12/14,201812  ,TJF,東證期貨,1608.97
2018/12/12,201812W2,TX/MTX,臺股期貨/小型臺指期貨,9829
2018/12/05,201812W1,TX/MTX,臺股期貨/小型臺指期貨,9904
2018/11/30,201811  ,I5F,印度50期貨,10858.7
2018/11/28,201811W4,TX/MTX,臺股期貨/小型臺指期貨,9874
2018/11/21,201811  ,TX/MTX,臺股期貨/小型臺指期貨,9743
2018/11/21,201811  ,TE,電子期貨,381.35
2018/11/21,201811  ,TF,金融期貨,1235.4
2018/11/21,201811  ,T5F,台灣50期貨,7334
2018/11/21,201811  ,XIF,非金電期貨,11829
2018/11/21,201811  ,GTF,櫃買期貨,120.95
2018/11/14,201811W2,TX/MTX,臺股期貨/小型臺指期貨,9788
2018/11/09,201811  ,TJF,東證期貨,1680.23
2018/11/07,201811W1,TX/MTX,臺股期貨/小型臺指期貨,9889
2018/10/31,201810W5,TX/MTX,臺股期貨/小型臺指期貨,9733
2018/10/26,201810  ,I5F,印度50期貨,10124.9
2018/10/24,201810W4,TX/MTX,臺股期貨/小型臺指期貨,9774
2018/10/17,201810  ,TX/MTX,臺股期貨/小型臺指期貨,9994
2018/10/17,201810  ,TE,電子期貨,397.25
2018/10/17,201810  ,TF,金融期貨,1228.4
2018/10/17,201810  ,T5F,台灣50期貨,7712
2018/10/17,201810  ,XIF,非金電期貨,12028
2018/10/17,201810  ,GTF,櫃買期貨,119.1
2018/10/12,201810  ,TJF,東證期貨,1688.75
2018/10/11,201810W2,TX/MTX,臺股期貨/小型臺指期貨,9819
2018/10/03,201810W1,TX/MTX,臺股期貨/小型臺指期貨,10852
2018/09/28,201809  ,I5F,印度50期貨,10977.55
2018/09/26,201809W4,TX/MTX,臺股期貨/小型臺指期貨,10962
2018/09/25,201809  ,UDF,美國道瓊期貨,26772.04
2018/09/25,201809  ,SPF,美國標普500期貨,2940.45
2018/09/19,201809  ,TX/MTX,臺股期貨/小型臺指期貨,10872
2018/09/19,201809  ,TE,電子期貨,437.7
2018/09/19,201809  ,TF,金融期貨,1279.8
2018/09/19,201809  ,T5F,台灣50期貨,8327
2018/09/19,201809  ,XIF,非金電期貨,13060
2018/09/19,201809  ,GTF,櫃買期貨,132.75
