最後結算日,契約月份,商品代號,商品名稱,最後結算價
2016/12/30,201612  ,I5F,印度50期貨,8103.6
2016/12/28,201612W4,TX/MTX,臺股期貨/小型臺指期貨,9198
2016/12/21,201612  ,TX/MTX,臺股期貨/小型臺指期貨,9232
2016/12/21,201612  ,TE,電子期貨,367.85
2016/12/21,201612  ,TF,金融期貨,1081.2
2016/12/21,201612  ,T5F,台灣50期貨,6973
2016/12/21,201612  ,XIF,非金電期貨,11312
2016/12/21,201612  ,GTF,櫃買期貨,123.6
2016/12/14,201612W2,TX/MTX,臺股期貨/小型臺指期貨,9377
2016/12/09,201612  ,TJF,東證期貨,1512.46
2016/12/07,201612W1,TX/MTX,臺股期貨/小型臺指期貨,9258
2016/11/30,201611W5,TX/MTX,臺股期貨/小型臺指期貨,9217
2016/11/25,201611  ,I5F,印度50期貨,7965.5
2016/11/23,201611W4,TX/MTX,臺股期貨/小型臺指期貨,9179
2016/11/16,201611  ,TX/MTX,臺股期貨/小型臺指期貨,8984
2016/11/16,201611  ,TE,電子期貨,361.05
2016/11/16,201611  ,TF,金融期貨,1031.6
2016/11/16,201611  ,T5F,台灣50期貨,6828
2016/11/16,201611  ,XIF,非金電期貨,10946
2016/11/16,201611  ,GTF,櫃買期貨,119.8
2016/11/11,201611  ,TJF,東證期貨,1392.28
2016/11/09,201611W2,TX/MTX,臺股期貨/小型臺指期貨,8940
2016/11/02,201611W1,TX/MTX,臺股期貨/小型臺指期貨,9151
2016/10/26,201610W4,TX/MTX,臺股期貨/小型臺指期貨,9363
2016/10/19,201610  ,TX/MTX,臺股期貨/小型臺指期貨,9280
2016/10/19,201610  ,TE,電子期貨,380.75
2016/10/19,201610  ,TF,金融期貨,1000.6
2016/10/19,201610  ,T5F,台灣50期貨,7050
2016/10/19,201610  ,XIF,非金電期貨,11198
2016/10/19,201610  ,GTF,櫃買期貨,127.15
2016/10/14,201610  ,TJF,東證期貨,1340.93
2016/10/12,201610W2,TX/MTX,臺股期貨/小型臺指期貨,9247
2016/10/05,201610W1,TX/MTX,臺股期貨/小型臺指期貨,9261
2016/09/29,201609W4,TX/MTX,臺股期貨/小型臺指期貨,9287
2016/09/21,201609  ,TX/MTX,臺股期貨/小型臺指期貨,9221
2016/09/21,201609  ,TE,電子期貨,378.5
2016/09/21,201609  ,TF,金融期貨,1009.6
2016/09/21,201609  ,T5F,台灣50期貨,6932
2016/09/21,201609  ,XIF,非金電期貨,11054
2016/09/21,201609  ,GTF,櫃買期貨,130.75
2016/09/14,201609W2,TX/MTX,臺股期貨/小型臺指期貨,8902
2016/09/09,201609  ,TJF,東證期貨,1345.57
2016/09/07,201609W1,TX/MTX,臺股期貨/小型臺指期貨,9261
2016/08/31,201608W5,TX/MTX,臺股期貨/小型臺指期貨,9074
2016/08/24,201608W4,TX/MTX,臺股期貨/小型臺指期貨,9030
2016/08/17,201608  ,TX/MTX,臺股期貨/小型臺指期貨,9121
2016/08/17,201608  ,TE,電子期貨,370.35
2016/08/17,201608  ,TF,金融期貨,1000.4
2016/08/17,201608  ,T5F,台灣50期貨,6848
2016/08/17,201608  ,XIF,非金電期貨,11124
2016/08/17,201608  ,GTF,櫃買期貨,129.8
2016/08/12,201608  ,TJF,東證期貨,1326.58
2016/08/10,201608W2,TX/MTX,臺股期貨/小型臺指期貨,9181
2016/08/03,201608W1,TX/MTX,臺股期貨/小型臺指期貨,9004
2016/07/27,201607W4,TX/MTX,臺股期貨/小型臺指期貨,9054
2016/07/20,201607  ,TX/MTX,臺股期貨/小型臺指期貨,9003
2016/07/20,201607  ,TE,電子期貨,365.6
2016/07/20,201607  ,TF,金融期貨,981.6
2016/07/20,201607  ,T5F,台灣50期貨,6740
2016/07/20,201607  ,XIF,非金電期貨,11003
2016/07/20,201607  ,GTF,櫃買期貨,130.6
2016/07/13,201607W2,TX/MTX,臺股期貨/小型臺指期貨,8845
2016/07/11,201607  ,TJF,東證期貨,1229.9
2016/07/06,201607W1,TX/MTX,臺股期貨/小型臺指期貨,8579
2016/06/29,201606W5,TX/MTX,臺股期貨/小型臺指期貨,8585
2016/06/22,201606W4,TX/MTX,臺股期貨/小型臺指期貨,8694
2016/06/15,201606  ,TX/MTX,臺股期貨/小型臺指期貨,8602
2016/06/15,201606  ,TE,電子期貨,346.7
2016/06/15,201606  ,TF,金融期貨,954
2016/06/15,201606  ,T5F,台灣50期貨,6425
2016/06/15,201606  ,XIF,非金電期貨,10573
2016/06/15,201606  ,GTF,櫃買期貨,127.25
2016/06/13,201606  ,TJF,東證期貨,1343.95
2016/06/08,201606W2,TX/MTX,臺股期貨/小型臺指期貨,8704
2016/06/01,201606W1,TX/MTX,臺股期貨/小型臺指期貨,8598
2016/05/25,201605W4,TX/MTX,臺股期貨/小型臺指期貨,8387
2016/05/18,201605  ,TX/MTX,臺股期貨/小型臺指期貨,8149
2016/05/18,201605  ,TE,電子期貨,320.65
2016/05/18,201605  ,TF,金融期貨,907.8
2016/05/18,201605  ,T5F,台灣50期貨,5994
2016/05/18,201605  ,XIF,非金電期貨,10387
2016/05/18,201605  ,GTF,櫃買期貨,122.3
2016/05/13,201605  ,TJF,東證期貨,1345.26
2016/05/11,201605W2,TX/MTX,臺股期貨/小型臺指期貨,8139
2016/05/04,201605W1,TX/MTX,臺股期貨/小型臺指期貨,8171
2016/04/27,201604W4,TX/MTX,臺股期貨/小型臺指期貨,8567
2016/04/20,201604  ,TX/MTX,臺股期貨/小型臺指期貨,8519
2016/04/20,201604  ,TE,電子期貨,336.85
2016/04/20,201604  ,TF,金融期貨,932.6
2016/04/20,201604  ,T5F,台灣50期貨,6269
2016/04/20,201604  ,XIF,非金電期貨,10848
2016/04/20,201604  ,GTF,櫃買期貨,127.45
2016/04/13,201604W2,TX/MTX,臺股期貨/小型臺指期貨,8641
2016/04/08,201604  ,TJF,東證期貨,1254.51
2016/04/06,201604W1,TX/MTX,臺股期貨/小型臺指期貨,8523
2016/03/30,201603W5,TX/MTX,臺股期貨/小型臺指期貨,8735
2016/03/23,201603W4,TX/MTX,臺股期貨/小型臺指期貨,8745
